"id","mypage_id","user_id","action","history","created","modified"
"1","1","","signup","","2018-05-02 13:58:55","2018-05-02 13:58:55"
"2","1","","activate","","2018-05-02 13:59:18","2018-05-02 13:59:18"
"3","1","","login","","2018-05-02 13:59:37","2018-05-02 13:59:37"
"4","1","","logout","","2018-05-02 14:46:05","2018-05-02 14:46:05"
"5","1","","login","","2018-05-02 14:49:39","2018-05-02 14:49:39"
"6","1","","login","","2018-05-02 15:56:09","2018-05-02 15:56:09"
"7","1","","login","","2018-05-02 15:56:55","2018-05-02 15:56:55"
"8","1","","login","","2018-05-02 16:00:51","2018-05-02 16:00:51"
"9","1","","login","","2018-05-02 16:02:16","2018-05-02 16:02:16"
"10","1","","login","","2018-05-02 16:02:23","2018-05-02 16:02:23"
"11","1","","login","","2018-05-02 16:14:02","2018-05-02 16:14:02"
"12","1","","login","","2018-05-02 16:21:52","2018-05-02 16:21:52"
"13","1","","login","","2018-05-02 17:24:09","2018-05-02 17:24:09"
"14","1","","logout","","2018-05-02 17:58:35","2018-05-02 17:58:35"
"15","1","","logout","","2018-05-02 18:00:23","2018-05-02 18:00:23"
"16","1","","login","","2018-05-02 18:05:08","2018-05-02 18:05:08"
"17","1","","edit","a:18:{s:2:""id"";s:1:""1"";s:4:""name"";s:25:""binbin4649+test@gmail.com"";s:8:""username"";s:25:""binbin4649+test@gmail.com"";s:6:""status"";s:1:""0"";s:5:""email"";s:25:""binbin4649+test@gmail.com"";s:3:""sex"";N;s:3:""tel"";N;s:3:""zip"";N;s:9:""address_1"";N;s:9:""address_2"";N;s:7:""myadmin"";N;s:10:""myadmin_id"";N;s:9:""magiclink"";N;s:8:""editpass"";N;s:3:""age"";N;s:3:""job"";N;s:7:""created"";s:19:""2018-05-02 13:58:55"";s:8:""modified"";s:19:""2018-05-02 13:59:18"";}","2018-05-02 18:06:59","2018-05-02 18:06:59"
"18","1","","logout","","2018-05-02 18:08:08","2018-05-02 18:08:08"
"19","1","","logout","","2018-05-02 18:10:09","2018-05-02 18:10:09"
"20","1","","login","","2018-05-02 18:25:12","2018-05-02 18:25:12"
"21","1","","login","","2018-05-03 13:45:23","2018-05-03 13:45:23"
"22","1","","logout","","2018-05-03 14:47:30","2018-05-03 14:47:30"
"23","1","","login","","2018-05-03 16:16:26","2018-05-03 16:16:26"
"24","1","","login","","2018-05-03 16:23:34","2018-05-03 16:23:34"
"25","1","","logout","","2018-05-03 16:23:44","2018-05-03 16:23:44"
"26","1","","login","","2018-05-03 16:24:18","2018-05-03 16:24:18"
"27","1","","login","","2018-05-03 16:25:50","2018-05-03 16:25:50"
"28","1","","login","","2018-05-03 16:36:12","2018-05-03 16:36:12"
"29","1","","logout","","2018-05-03 16:36:56","2018-05-03 16:36:56"
"30","1","","logout","","2018-05-03 17:20:11","2018-05-03 17:20:11"
"31","1","","login","","2018-05-03 17:20:17","2018-05-03 17:20:17"
"32","1","","login","","2018-05-04 08:51:35","2018-05-04 08:51:35"
"33","1","","login","","2018-05-04 09:01:57","2018-05-04 09:01:57"
"34","1","","edit","a:18:{s:2:""id"";s:1:""1"";s:4:""name"";s:25:""binbin4649+test@gmail.com"";s:8:""username"";s:25:""binbin4649+test@gmail.com"";s:6:""status"";s:1:""0"";s:5:""email"";s:25:""binbin4649+test@gmail.com"";s:3:""sex"";s:0:"""";s:3:""tel"";s:0:"""";s:3:""zip"";s:0:"""";s:9:""address_1"";s:0:"""";s:9:""address_2"";s:0:"""";s:7:""myadmin"";N;s:10:""myadmin_id"";N;s:9:""magiclink"";s:6:""active"";s:8:""editpass"";N;s:3:""age"";s:0:"""";s:3:""job"";s:0:"""";s:7:""created"";s:19:""2018-05-02 13:58:55"";s:8:""modified"";s:19:""2018-05-04 08:58:46"";}","2018-05-04 09:18:11","2018-05-04 09:18:11"
"35","1","","logout","","2018-05-04 09:22:37","2018-05-04 09:22:37"
"36","1","","login","","2018-05-04 09:22:42","2018-05-04 09:22:42"
"37","1","","logout","","2018-05-04 09:25:07","2018-05-04 09:25:07"
"38","1","","logout","","2018-05-04 09:32:57","2018-05-04 09:32:57"
"39","1","","login","","2018-05-04 09:33:07","2018-05-04 09:33:07"
"40","1","","edit","a:18:{s:2:""id"";s:1:""1"";s:4:""name"";s:12:""テスト君"";s:8:""username"";s:25:""binbin4649+test@gmail.com"";s:6:""status"";s:1:""0"";s:5:""email"";s:25:""binbin4649+test@gmail.com"";s:3:""sex"";s:0:"""";s:3:""tel"";s:0:"""";s:3:""zip"";s:0:"""";s:9:""address_1"";s:0:"""";s:9:""address_2"";s:0:"""";s:7:""myadmin"";N;s:10:""myadmin_id"";N;s:9:""magiclink"";s:6:""active"";s:8:""editpass"";N;s:3:""age"";s:0:"""";s:3:""job"";s:0:"""";s:7:""created"";s:19:""2018-05-02 13:58:55"";s:8:""modified"";s:19:""2018-05-04 09:24:40"";}","2018-05-04 09:33:29","2018-05-04 09:33:29"
"41","1","","logout","","2018-05-04 09:34:08","2018-05-04 09:34:08"
"42","1","","login","","2018-05-04 09:34:15","2018-05-04 09:34:15"
"43","1","","logout","","2018-05-04 09:34:49","2018-05-04 09:34:49"
"44","1","","login","","2018-05-04 09:34:56","2018-05-04 09:34:56"
"45","1","","logout","","2018-05-04 09:35:39","2018-05-04 09:35:39"
"46","1","","login","","2018-05-04 09:35:46","2018-05-04 09:35:46"
"47","1","","edit","a:18:{s:2:""id"";s:1:""1"";s:4:""name"";s:15:""テスト君２"";s:8:""username"";s:25:""binbin4649+test@gmail.com"";s:6:""status"";s:1:""0"";s:5:""email"";s:25:""binbin4649+test@gmail.com"";s:3:""sex"";s:0:"""";s:3:""tel"";s:0:"""";s:3:""zip"";s:0:"""";s:9:""address_1"";s:0:"""";s:9:""address_2"";s:0:"""";s:7:""myadmin"";N;s:10:""myadmin_id"";N;s:9:""magiclink"";s:6:""active"";s:8:""editpass"";N;s:3:""age"";s:0:"""";s:3:""job"";s:0:"""";s:7:""created"";s:19:""2018-05-02 13:58:55"";s:8:""modified"";s:19:""2018-05-04 09:35:25"";}","2018-05-04 09:35:58","2018-05-04 09:35:58"
"48","1","","logout","","2018-05-04 09:43:15","2018-05-04 09:43:15"
"49","1","","login","","2018-05-04 09:43:22","2018-05-04 09:43:22"
"50","1","","logout","","2018-05-04 09:43:39","2018-05-04 09:43:39"
"51","1","","login","","2018-05-04 09:43:44","2018-05-04 09:43:44"
"52","1","","edit","a:18:{s:2:""id"";s:1:""1"";s:4:""name"";s:15:""テスト君３"";s:8:""username"";s:25:""binbin4649+test@gmail.com"";s:6:""status"";s:1:""0"";s:5:""email"";s:25:""binbin4649+test@gmail.com"";s:3:""sex"";s:0:"""";s:3:""tel"";s:0:"""";s:3:""zip"";s:0:"""";s:9:""address_1"";s:0:"""";s:9:""address_2"";s:0:"""";s:7:""myadmin"";N;s:10:""myadmin_id"";N;s:9:""magiclink"";s:6:""active"";s:8:""editpass"";N;s:3:""age"";s:0:"""";s:3:""job"";s:0:"""";s:7:""created"";s:19:""2018-05-02 13:58:55"";s:8:""modified"";s:19:""2018-05-04 09:43:28"";}","2018-05-04 09:43:57","2018-05-04 09:43:57"
"53","1","","logout","","2018-05-04 09:56:48","2018-05-04 09:56:48"
"54","1","","login","","2018-05-04 09:56:55","2018-05-04 09:56:55"
"55","1","","edit","a:18:{s:2:""id"";s:1:""1"";s:4:""name"";s:15:""テスト君４"";s:8:""username"";s:25:""binbin4649+test@gmail.com"";s:6:""status"";s:1:""0"";s:5:""email"";s:25:""binbin4649+test@gmail.com"";s:3:""sex"";s:0:"""";s:3:""tel"";s:0:"""";s:3:""zip"";s:0:"""";s:9:""address_1"";s:0:"""";s:9:""address_2"";s:0:"""";s:7:""myadmin"";N;s:10:""myadmin_id"";N;s:9:""magiclink"";s:6:""active"";s:8:""editpass"";N;s:3:""age"";s:0:"""";s:3:""job"";s:0:"""";s:7:""created"";s:19:""2018-05-02 13:58:55"";s:8:""modified"";s:19:""2018-05-04 09:56:41"";}","2018-05-04 09:57:11","2018-05-04 09:57:11"
"56","1","","edit","a:18:{s:2:""id"";s:1:""1"";s:4:""name"";s:15:""テスト君５"";s:8:""username"";s:25:""binbin4649+test@gmail.com"";s:6:""status"";s:1:""0"";s:5:""email"";s:25:""binbin4649+test@gmail.com"";s:3:""sex"";s:0:"""";s:3:""tel"";s:0:"""";s:3:""zip"";s:0:"""";s:9:""address_1"";s:0:"""";s:9:""address_2"";s:0:"""";s:7:""myadmin"";N;s:10:""myadmin_id"";N;s:9:""magiclink"";s:6:""active"";s:8:""editpass"";N;s:3:""age"";s:0:"""";s:3:""job"";s:0:"""";s:7:""created"";s:19:""2018-05-02 13:58:55"";s:8:""modified"";s:19:""2018-05-04 09:57:11"";}","2018-05-04 09:57:26","2018-05-04 09:57:26"
"57","1","","logout","","2018-05-04 09:57:53","2018-05-04 09:57:53"
"58","1","","logout","","2018-05-04 09:58:00","2018-05-04 09:58:00"
"59","1","","edit","a:18:{s:2:""id"";s:1:""1"";s:4:""name"";s:15:""テスト君６"";s:8:""username"";s:25:""binbin4649+test@gmail.com"";s:6:""status"";s:1:""0"";s:5:""email"";s:25:""binbin4649+test@gmail.com"";s:3:""sex"";s:0:"""";s:3:""tel"";s:0:"""";s:3:""zip"";s:0:"""";s:9:""address_1"";s:0:"""";s:9:""address_2"";s:0:"""";s:7:""myadmin"";N;s:10:""myadmin_id"";N;s:9:""magiclink"";s:6:""active"";s:8:""editpass"";N;s:3:""age"";s:0:"""";s:3:""job"";s:0:"""";s:7:""created"";s:19:""2018-05-02 13:58:55"";s:8:""modified"";s:19:""2018-05-04 09:57:36"";}","2018-05-04 09:58:38","2018-05-04 09:58:38"
"60","1","","edit","a:18:{s:2:""id"";s:1:""1"";s:4:""name"";s:15:""テスト君６"";s:8:""username"";s:25:""binbin4649+test@gmail.com"";s:6:""status"";s:1:""0"";s:5:""email"";s:25:""binbin4649+test@gmail.com"";s:3:""sex"";s:0:"""";s:3:""tel"";s:0:"""";s:3:""zip"";s:0:"""";s:9:""address_1"";s:0:"""";s:9:""address_2"";s:0:"""";s:7:""myadmin"";N;s:10:""myadmin_id"";N;s:9:""magiclink"";s:6:""active"";s:8:""editpass"";N;s:3:""age"";s:0:"""";s:3:""job"";s:0:"""";s:7:""created"";s:19:""2018-05-02 13:58:55"";s:8:""modified"";s:19:""2018-05-04 09:58:38"";}","2018-05-04 11:23:04","2018-05-04 11:23:04"
"61","1","","logout","","2018-05-04 11:25:16","2018-05-04 11:25:16"
"62","1","","login","","2018-05-04 11:25:20","2018-05-04 11:25:20"
